country,loss,weeks,deaths,gdp,private,internet,hlo,vac,stringency,union,polity,loggdp,logweeks,weeks2,pop,schooling,wbcode,region_code,hlo25,oecd,covid,high,covid25
Argentina,0.44,39,288.0,8585.7,26.1,86,457.4,65.1,67.0,27.7,9,9.057853,3.663562,1521,4.50E+07,9.51,ARG,Latin America and the Caribbean,18.2967,0,413.418,0,16.5367
Australia,0.01,8,60.4,51680.3,29.5,90,544.4,64.0,61.0,13.7,10,10.85283,,64,2.60E+07,11.54,AUS,Advanced Economies,21.7744,1,543.36,1,21.7344
Bangladesh,0.28,63,17.8,2270.4,23.9,25,340.1,17.0,70.0,11.9,-6,7.727688,4.143135,3969,1.70E+08,5.91,BGD,South Asia,13.6035,0,312.088,0,12.4835
Belgium,0.23,9,284.7,45189.4,54.2,92,340.1,87.0,50.0,49.1,8,10.71862,2.197225,81,1.10E+07,10.69,BEL,Advanced Economies,13.6035,1,317.088,1,12.6835
Botswana,0.29,11,118.6,6348.8,6.9,64,417.7,12.0,50.0,30.0,8,8.756026,2.397895,121,2.30E+06,9.55,BWA,Sub-Saharan Africa,16.7062,0,388.656,0,15.5462
Brazil,0.32,38,323.1,6814.9,18.7,81,465.5,64.0,60.0,13.0,8,8.826863,3.637586,1444,2.10E+08,7.89,BRA,Latin America and the Caribbean,18.6181,0,433.452,0,17.3381
Cambodia,0.45,40,18.3,1547.5,5.7,33,491.9,82.0,71.0,9.6,-4,7.344403,3.688879,1600,1.60E+07,4.72,KHM,East Asia and the Pacific,19.6779,0,446.948,0,17.8779
Canada,0.17,26,119.0,43258.3,6.4,97,543.1,87.4,69.5,29.4,10,10.67494,3.258096,676,3.70E+07,12.32,CAN,Advanced Economies,21.7239,1,526.098,1,21.0439
Chile,0.25,14,320.8,13220.6,62.6,88,493.9,115.0,66.0,17.1,10,9.48953,2.639057,196,1.90E+07,9.78,CHL,Latin America and the Caribbean,19.7549,1,468.872,0,18.7549
China,0.22,7,1.1,10408.7,8.5,70,456.0,105.0,71.0,44.3,-7,9.250395,1.94591,49,1.40E+09,7.95,CHN,East Asia and the Pacific,18.24,0,434,0,17.36
